Name,Description,imageloc,category,tags,Chromaluxe,Lerret,FineArt smooth,SKU,Ratio
Muen i rosa,Flotte muen,https://tiboine.com/wp-content/uploads/2020/10/Muen-Tor-Ivan-Boine-7063.jpg,Landskap,"Muen, Ringebu, kveldslys, Fjell, landskap","ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste","Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid.",Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram ,7063,3:2
Nattvann,Nattvann i Finnmark,https://tiboine.com/wp-content/uploads/2021/02/Nattvann_20170727_3966.jpg,Landskap,"solnedgang, Finnmark, Nord-Norge, vann, kveld",,,,3966,3:2
Gimsøya,I Nordland,https://tiboine.com/wp-content/uploads/2021/02/TIB-20150722-3977.jpg,Landskap,"solnedgang, Nord-Norge, vann, kveld, hav",,,,3977,3:2
Rondane,Et speil i Rondane,https://tiboine.com/wp-content/uploads/2015/10/Reflection-in-Doraaldalen_15-09-28-Foto-Tor-Ivan-Boine-0794.jpg,Landskap,"Rondane, speiling, fjell, morgenlys",,,,794,3:2
Rondane II,En fantastisk septembermorgen,https://tiboine.com/wp-content/uploads/2015/10/Doraaldalen_15-09-28-Foto-Tor-Ivan-Boine-08101.jpg,Landskap,"Rondane, speiling, fjell, morgenlys",,,,8101,3:2
Morgenlys i Døråldalen,Jeg hadde nettopp våknet. Så på klokka. Det var soloppgang. Kastet på meg klærne og løp ut for å fange soloppgangen. Klarte det akkurat!,https://tiboine.com/wp-content/uploads/2019/12/TIB-20130910-6897.jpg,Landskap,"Soloppgang, morgen, Rondane, Døråldalen, rødt",,,,6897,3:2
Sohlbergplassen,Den klassiske utsikten fra Sohlbergplass,https://tiboine.com/wp-content/uploads/2019/10/Sohlbergplassen-20150819-6207.jpg,Landskap,"Sohlbergplass, solnedgang, Rondane, kveld",,,,6207,3:2
Vintermorgen,Fra Venabygdsfjellet,https://tiboine.com/wp-content/uploads/2019/12/TIB-20150118-9508.jpg,Landskap,"venabygdsfjellet, vinter, morgen, blå",,,,9508,3:2
Muen vinter,En tidlig januarmorgen,https://tiboine.com/wp-content/uploads/2019/12/TIB-20150118-9517.jpg,Landskap,"venabygdsfjellet, vinter, morgen, blå, muen",,,,9517,3:2
Randen,Randen fjell ved Mysusæter,https://tiboine.com/wp-content/uploads/2019/10/TIB-20150831-6791.jpg,Landskap,fjell,,,,6791,3:2
Blomsten i Jotunheimen,Jotunheimen,https://tiboine.com/wp-content/uploads/2019/10/TIB-20160821-1650.jpg,landskap,"jotunheimen, blomst, fjell",,,,1650,3:2
Nordlys på fjellet,Ved Muvatnet på Venabygdsfjellet,https://tiboine.com/wp-content/uploads/2019/10/TIB-20161010-5781.jpg,landskap,"muen,muvatnet, nordlys,natt,venabygdsfjellet",,,,5781,2:3
Nordlys på fjellet II,Ved Muvatnet på Venabygdsfjellet,https://tiboine.com/wp-content/uploads/2019/10/TIB-20161010-5757.jpg,landskap,"muen,muvatnet, nordlys,natt,venabygdsfjellet",,,,5757,3:2
Melkeveien og månen,Fra Venabygdsfjellet,https://tiboine.com/wp-content/uploads/2019/10/TIB-20161010-5746.jpg,landskap,"Melkeveien, måne, Venabygdsfjellet, natt, stjerner",,,,5746,2:3
Venabygdsfjellet,silhuettene,https://tiboine.com/wp-content/uploads/2020/10/Tor-Ivan-Boine-9409.jpg,landskap,"Muen, Venabygdsfjellet, kveld, silhuett, panorama",,,,9409,2:1